,AREA,PERIMETER,PARKS_,PARKS_ID,NAME,TYPE,DPWDIV,ZONE,HOOD_NO,HOOD,ACRES,SQMILES,ADDRESS,CODE,ALT_NAME,PW,TITLE,ID,Shape_Leng,ClassCode,Shape_Le_1,Shape_Area,X,Y
28,295575,2425.2,30,31,Chadwick,Rec Center,2,Northeast,47,Lincoln-Lemington-Belmar,6.78546893,0.010602295,NA,misc,NA,n,Chadwick Rec Center,48,2425.202792,0,2425.202792,295575.0266,-79.89150182,40.46548562
29,2467.48,361.075,31,32,Highland Ave,Plant Strip,2,NA,29,East Liberty,0.056645473,8.85E-05,NA,gspc,NA,n,Highland Ave Plant Strip,49,361.0746153,0,361.0746153,2467.476806,-79.92308115,40.46583928
30,40528.6,810.824,32,33,Scherer,Field,1,Northern,75,Spring Hill- City View,0.930407861,0.001453762,NA,gcpc,NA,n,Scherer Field,51,810.824034,0,810.824034,40528.56643,-79.99962734,40.46663582
31,139456,1899.44,33,34,Garland,Parklet,2,Central,29,East Liberty,3.20146345,0.005002287,NA,park,NA,n,Garland Parklet,53,1899.44182,0,1899.44182,139455.7479,-79.92763745,40.46394917
32,11334.2,410.241,34,35,Marshall- California,Parklet,1,NA,50,Marshall-Shadeland,0.260196831,0.000406558,NA,park,NA,n,Marshall- California Parklet,54,410.241351,0,410.241351,11334.17398,-80.03059421,40.46251844
33,149306,1791.93,35,36,Sullivan,Playground,2,Central,48,Lower Lawrenceville,3.427587542,0.005355606,NA,play,NA,n,Sullivan Playground,56,1791.926439,0,1791.926439,149305.7133,-79.96325374,40.46258823
34,149239,1857.62,36,37,Gardner,Field,1,Northern,84,Troy Hill,3.42605542,0.005353212,NA,gspc,NA,n,Gardner Field,57,1857.623227,0,1857.623227,149238.9741,-79.98625964,40.46169871
35,76751.2,1108.51,37,38,Fineview,Playground,1,Northern,33,Fineview,1.761965118,0.00275307,NA,play,NA,n,Fineview Playground,58,1108.511978,0,1108.511978,76751.20056,-80.00397011,40.46185304
36,9134.74,410.536,38,39,Leister St,Parklet,1,Northern,75,Spring Hill- City View,0.20970478,0.000327664,NA,park,NA,n,Leister St Parklet,59,410.5360479,0,410.5360479,9134.74023,-79.99569252,40.46212183
37,388672,4098.95,39,40,McGonigle,Playground,5,Western,69,Sheraden,8.922683415,0.013941693,NA,play,NA,n,McGonigle Playground,60,4098.949165,0,4098.949165,388672.0896,-80.06619909,40.4592981
38,8484.94,365.828,40,41,Esplen,Tot Lot,5,Western,31,Esplen,0.194787409,0.000304355,NA,play,NA,n,Esplen Tot Lot,61,365.8280525,0,365.8280525,8484.939527,-80.050795,40.46071792
39,85178.1,1901.43,41,42,Friendship,Park,2,Central,10,Bloomfield,1.955420195,0.003055344,NA,park,NA,n,Friendship Park,62,1901.426599,0,1901.426599,85178.1037,-79.94616121,40.462562
40,253104,3262.78,43,44,Bloomfield,Playground,2,Central,10,Bloomfield,5.810457895,0.00907884,NA,play,NA,n,Bloomfield Playground,68,3262.780878,0,3262.780878,253103.5459,-79.95453316,40.46223612
41,1298.83,194.322,44,45,Penn Circle W,Square,2,Central,29,East Liberty,0.029816951,4.66E-05,NA,gspc,NA,y,Penn Circle W Square,69,194.3217402,0,194.3217402,1298.826364,-79.9279042,40.46262406
42,3206.91,345.905,45,46,Penn Circle W,Triangle,2,Central,29,East Liberty,0.073620592,0.000115032,NA,gspc,NA,y,Penn Circle W Triangle,70,345.9054548,0,345.9054548,3206.913005,-79.92804159,40.46249202
43,101702,1394.57,46,47,Enright,Parklet,2,Central,29,East Liberty,2.334768016,0.003648075,NA,park,NA,n,Enright Parklet,71,1394.572676,0,1394.572676,101702.4948,-79.9298333,40.46188541
44,3330.49,497.244,47,48,East Liberty,Mall,2,Central,29,East Liberty,0.076457491,0.000119465,NA,gspc,NA,y,East Liberty Mall,72,497.2443265,0,497.2443265,3330.488308,-79.92740571,40.46235691
45,5988.8,325.374,48,49,Morrison,Tot Lot,1,Northern,15,California-Kirkbride,0.137483828,0.000214818,NA,play,NA,y,Morrison Tot Lot,74,325.3738301,0,325.3738301,5988.795527,-80.02160978,40.46017393
46,100442,1563.27,49,52,Manchester,Park,1,Northern,49,Manchester,2.305842191,0.003602878,NA,park,NA,n,Manchester Park,80,1563.269184,0,1563.269184,100442.4858,-80.02545513,40.45867217
47,25842.1,679.938,50,53,Jefferson,Playground,1,Northern,19,Central Northside,0.5932533,0.000926958,NA,play,NA,n,Jefferson Playground,81,679.9377887,0,679.9377887,25842.11376,-80.01453182,40.45908991
48,267826,2197.2,51,54,Chartiers,Playground,5,Western,90,Windgap,6.148435725,0.009606931,NA,play,NA,n,Chartiers Playground,83,2197.202504,0,2197.202504,267825.8602,-80.07429276,40.4569996
49,183975,1706.74,53,56,Cowley,Playground,1,Northern,84,Troy Hill,4.223495647,0.006599212,NA,play,NA,n,Cowley Playground,86,1706.739715,0,1706.739715,183975.4704,-79.98892443,40.45868971
50,6661.65,333.324,54,57,Loraine St,Tot Lot,1,Northern,19,Central Northside,0.152930465,0.000238954,NA,play,NA,n,Loraine St Tot Lot,88,333.3241318,0,333.3241318,6661.651052,-80.00649426,40.45871619
51,1615.34,189.299,56,59,Penn Circle S,Triangle,2,Central,68,Shadyside,0.037083071,5.79E-05,NA,gspc,NA,y,Penn Circle S Triangle,90,189.2991003,0,189.2991003,1615.33858,-79.92521309,40.45980604
52,5674.41,302.562,57,60,Alpine #2,Parklet,1,Northern,19,Central Northside,0.130266465,0.000203541,NA,park,NA,n,Alpine #2 Parklet,91,302.5621826,0,302.5621826,5674.407194,-80.01291895,40.45772643
53,4497.67,296.744,58,61,Amber,Triangle,2,Central,29,East Liberty,0.103252378,0.000161332,NA,gspc,NA,y,Amber Triangle,92,296.7438588,0,296.7438588,4497.673585,-79.93184578,40.45909858
54,12035.7,504.372,59,63,Baum Negley,Triangle,2,Central,29,East Liberty,0.276302016,0.000431722,NA,gspc,NA,y,Baum Negley Triangle,94,504.3722247,0,504.3722247,12035.71581,-79.93336921,40.45865622
55,19339.7,609.383,62,66,Sheraden,Senior Center,5,Western,69,Sheraden,0.443977654,0.000693715,NA,misc,NA,n,Sheraden Senior Center,97,609.383159,0,609.383159,19339.66662,-80.05663697,40.45512448
56,18666.5,575.212,63,67,Dallas,Parklet,2,Northeast,43,Homewood West,0.428523288,0.000669568,NA,park,NA,n,Dallas Parklet,98,575.2123431,0,575.2123431,18666.47444,-79.90451219,40.45787275
57,1007.12,134.441,64,68,Polish Hill,Monument,6,Central,65,Polish Hill,0.02312026,3.61E-05,NA,misc,NA,y,Polish Hill Monument,99,134.4414294,0,134.4414294,1007.118511,-79.96731585,40.45676849
58,52161.2,907.566,65,69,Osceola,Parklet,2,Central,10,Bloomfield,1.197455943,0.001871025,NA,park,NA,n,Osceola Parklet,101,907.565864,0,907.565864,52161.18089,-79.94244175,40.45671252
59,981899,4544.06,66,70,West Penn,Park,6,Central,65,Polish Hill,22.54129996,0.035220781,NA,park,NA,n,West Penn Park,102,4544.061523,1,4544.061523,981899.0262,-79.97156265,40.45489769
60,26162.1,682.969,67,71,Morrow,Triangle,2,Central,10,Bloomfield,0.600598839,0.000938436,NA,gspc,NA,n,Morrow Triangle,103,682.9690225,0,682.9690225,26162.08541,-79.93893686,40.45656447
61,11263.4,646.686,68,72,Harris,Triangle,3,Central,56,North Oakland,0.25857234,0.000404019,NA,gspc,NA,y,Harris Triangle,104,646.6855618,0,646.6855618,11263.41111,-79.95477101,40.45603992
62,536317,2850.69,69,73,Robert E Williams,Park,3,Central,85,Upper Hill,12.31214859,0.019237732,NA,park,Herron Hill,n,Robert E Williams Park,106,2850.690333,0,2850.690333,536317.1926,-79.95879776,40.4547436
63,9636.6,410.876,70,74,Homewood,Senior Center,2,Northeast,42,Homewood South,0.221225987,0.000345666,no,misc,NA,n,Homewood Senior Center,108,410.8755945,0,410.8755945,9636.603987,-79.89296068,40.45688563
64,6484.15,369.479,71,75,Sheraden,Monument,5,Western,0,Sheraden,0.148855513,0.000232587,NA,misc,NA,y,Sheraden Monument,109,369.4786613,0,369.4786613,6484.146154,-80.05426828,40.45352989
65,122521,1717.59,72,76,Baxter,Parklet,2,Northeast,41,Homewood North,2.81269085,0.004394829,NA,park,NA,n,Baxter Parklet,110,1717.585886,0,1717.585886,122520.8134,-79.88909104,40.45620928
66,14129,604.572,73,77,Reizenstein,School,2,Eastern,68,Shadyside,0.324356075,0.000506806,NA,misc,NA,n,Reizenstein School,111,604.5723812,0,604.5723812,14128.95061,-79.91736554,40.4557339
67,109171,1999.78,75,79,Allegheny Center,Plaza,1,State,1,Allegheny Center,2.506231586,0.003915987,NA,misc,NA,n,Allegheny Center Plaza,117,1999.776166,0,1999.776166,109171.4479,-80.0058282,40.45244695
68,15040.6,629.881,76,80,Mutual,Parklet,5,Western,69,Sheraden,0.345284151,0.000539506,NA,park,NA,n,Mutual Parklet,118,629.8808315,0,629.8808315,15040.5776,-80.06416056,40.45198505
69,47026.5,862.766,77,81,Liberty,School,2,Eastern,68,Shadyside,1.079580445,0.001686844,NA,misc,NA,n,Liberty School,123,862.7658247,0,862.7658247,47026.52418,-79.9337757,40.45376951
70,204246,4135.08,78,82,West End Elliot Overlook,Park,5,NA,30,Elliott,4.688847214,0.007326324,NA,park,NA,n,West End Elliot Overlook Park,125,4135.085025,0,4135.085025,204246.1846,-80.03370433,40.4460999
71,70384.8,1279.69,79,83,McKnight,Playground,1,Northern,49,Manchester,1.615811815,0.002524706,NA,play,NA,n,McKnight Playground,126,1279.692453,0,1279.692453,70384.76265,-80.02298989,40.45199414
72,117096,1360.91,80,84,Homewood,Playground,2,Northeast,42,Homewood South,2.688165009,0.004200258,NA,play,NA,n,Homewood Playground,129,1360.908019,0,1360.908019,117096.4678,-79.89981033,40.45390633
73,471824,2747.69,81,85,Westinghouse,Park,2,Eastern,64,Point Breeze North,10.83159086,0.016924361,NA,park,NA,n,Westinghouse Park,130,2747.688904,1,2747.688904,471824.0977,-79.90275418,40.45299692
74,485079,3990.47,82,86,East Hills,Park,2,Northeast,28,East Hills,11.13587871,0.01739981,NA,park,NA,n,East Hills Park,133,3990.465354,1,3990.465354,485078.8766,-79.87049295,40.45322138
75,314514,4947.79,83,87,Curto,Park,6,State,80,Strip District,7.220256072,0.01128165,NA,park,NA,n,Curto Park,135,4947.79134,0,4947.79134,314514.3545,-79.97770768,40.45121632
76,165734,1678.47,84,88,Broadhead Manor,Field,5,Western,32,Fairywood,3.804722889,0.00594488,NA,gspc,NA,n,Broadhead Manor Field,138,1678.468103,0,1678.468103,165733.729,-80.08583106,40.44946532
